NAME,ORIGIN,RACE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Colorado,1,2,161497,165681,168181,168150,171253,172006,176682,179624,183379,187380,191096
Colorado,1,3,29661,30295,30420,30304,30391,30483,30830,31125,31327,31573,31763
Colorado,1,4,96588,101819,106029,109438,112760,116416,120882,124887,128901,133431,137948
Colorado,1,5,4019,4278,4485,4551,4708,4740,4981,5175,5423,5631,5791
Colorado,1,6,59815,63290,66388,69106,72090,75429,79217,83591,88122,92671,97456
Colorado,2,0,745292,783269,817023,842340,864744,892419,923306,954181,984899,1015491,1047701
Colorado,2,1,694307,726752,754908,775374,791883,813320,837923,861723,883933,905942,929429
Colorado,2,2,12964,14044,15079,15810,16738,17695,18888,20092,21659,23263,24879
Colorado,2,3,20474,22396,24449,26123,28403,30821,33127,35811,39567,42969,46886
Colorado,2,4,3623,4082,4424,4717,5206,5736,6061,6449,6931,7414,7982
Colorado,2,5,1570,1715,1859,1970,2075,2093,2156,2302,2432,2632,2703
Colorado,2,6,12354,14280,16304,18346,20439,22754,25151,27804,30377,33271,35822
Connecticut,1,0,3087925,3094716,3105032,3115034,3113182,3110633,3104593,3097942,3098803,3096321,3095170
Connecticut,1,1,2656149,2652081,2649183,2646218,2634725,2621545,2605095,2588641,2578450,2565668,2555658
Connecticut,1,2,304268,308219,313096,317527,320245,323461,326710,329860,333692,337206,340153
Connecticut,1,3,7462,7486,7498,7580,7503,7443,7469,7441,7358,7264,7133
Connecticut,1,4,85298,90360,96724,103160,108241,113866,119013,123732,128789,133404,137437
Connecticut,1,5,1065,1081,1127,1133,1155,1164,1193,1214,1199,1229,1204
Connecticut,1,6,33683,35489,37404,39416,41313,43154,45113,47054,49315,51550,53585
Connecticut,2,0,323852,338119,353717,369302,382912,396323,412867,429328,446776,465486,481903
Connecticut,2,1,280206,291233,303398,314951,325031,335224,347378,359342,372443,385202,396192
Connecticut,2,2,31341,32873,34589,36551,38251,39661,41899,44135,46103,49637,52806
Connecticut,2,3,3429,3944,4439,5046,5581,6124,6687,7327,8030,8826,9661
Connecticut,2,4,1603,1729,1946,2190,2360,2477,2659,2893,3147,3408,3695
Connecticut,2,5,1162,1292,1392,1536,1649,1638,1836,1954,2093,2165,2307
Connecticut,2,6,6111,7048,7953,9028,10040,11199,12408,13677,14960,16248,17242
Delaware,1,0,748539,754791,761982,770404,779529,789775,799790,808600,817149,820915,825927
Delaware,1,1,570632,571435,573133,575506,578497,581414,584449,586356,588414,587417,588407
Delaware,1,2,150246,153734,157332,161073,164746,169705,174330,178760,182914,185440,187952
Delaware,1,3,2386,2504,2485,2604,2603,2670,2734,2744,2797,2801,2852
Delaware,1,4,16681,17744,18893,20269,21794,23159,24460,26006,27225,28241,28958
Delaware,1,5,254,281,283,279,282,257,264,279,257,250,258
Delaware,1,6,8340,9093,9856,10673,11607,12570,13553,14455,15542,16766,17500
Delaware,2,0,37834,40908,44187,47599,51274,55375,59478,63149,66725,70815,73842
Delaware,2,1,31912,34169,36697,39333,42177,45294,48383,51073,53639,56338,58206
Delaware,2,2,4160,4498,4850,5147,5554,6014,6497,7026,7479,8260,8826
Delaware,2,3,685,905,1115,1349,1564,1787,2029,2259,2516,2852,3082
Delaware,2,4,215,269,287,338,356,402,415,449,476,542,510
Delaware,2,5,107,158,175,218,238,266,311,326,367,422,432
Delaware,2,6,755,909,1063,1214,1385,1612,1843,2016,2248,2401,2786
