REGION,DIVISION,STATE,NAME,RACE,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010
4,9,6,California,5,139331,143811,148422,153027,156967,160962,164707,168751,173104,177386,182242
4,9,6,California,6,780384,824741,869028,916088,964029,1012389,1061456,1115123,1174828,1237154,1294992
4,8,8,Colorado,0,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5049071
4,8,8,Colorado,1,3924356,4003807,4052788,4080217,4110950,4153715,4222448,4287008,4351612,4411960,4466745
4,8,8,Colorado,2,174461,179725,183260,183960,187991,189701,195570,199716,205038,210643,215975
4,8,8,Colorado,3,50135,52691,54869,56427,58794,61304,63957,66936,70894,74542,78649
4,8,8,Colorado,4,100211,105901,110453,114155,117966,122152,126943,131336,135832,140845,145930
4,8,8,Colorado,5,5589,5993,6344,6521,6783,6833,7137,7477,7855,8263,8494
4,8,8,Colorado,6,72169,77570,82692,87452,92529,98183,104368,111395,118499,125942,133278
1,1,9,Connecticut,0,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3577073
1,1,9,Connecticut,1,2936355,2943314,2952581,2961169,2959756,2956769,2952473,2947983,2950893,2950870,2951850
1,1,9,Connecticut,2,335609,341092,347685,354078,358496,363122,368609,373995,379795,386843,392959
1,1,9,Connecticut,3,10891,11430,11937,12626,13084,13567,14156,14768,15388,16090,16794
1,1,9,Connecticut,4,86901,92089,98670,105350,110601,116343,121672,126625,131936,136812,141132
1,1,9,Connecticut,5,2227,2373,2519,2669,2804,2802,3029,3168,3292,3394,3511
1,1,9,Connecticut,6,39794,42537,45357,48444,51353,54353,57521,60731,64275,67798,70827
3,5,10,Delaware,0,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899769
3,5,10,Delaware,1,602544,605604,609830,614839,620674,626708,632832,637429,642053,643755,646613
3,5,10,Delaware,2,154406,158232,162182,166220,170300,175719,180827,185786,190393,193700,196778
3,5,10,Delaware,3,3071,3409,3600,3953,4167,4457,4763,5003,5313,5653,5934
3,5,10,Delaware,4,16896,18013,19180,20607,22150,23561,24875,26455,27701,28783,29468
3,5,10,Delaware,5,361,439,458,497,520,523,575,605,624,672,690
3,5,10,Delaware,6,9095,10002,10919,11887,12992,14182,15396,16471,17790,19167,20286
3,5,11,District of Columbia,0,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,604453
3,5,11,District of Columbia,1,197141,202592,204051,203997,207551,212613,218088,225204,231736,243218,252131
3,5,11,District of Columbia,2,349214,344975,341307,335743,329989,323785,319150,315368,311838,310960,311823
3,5,11,District of Columbia,3,1974,2079,2209,2269,2450,2539,2732,2890,3019,3334,3271
3,5,11,District of Columbia,4,15903,16272,16435,16694,17337,17116,18790,18378,20196,20281,21788
3,5,11,District of Columbia,5,414,488,508,556,567,587,652,662,705,775,786
3,5,11,District of Columbia,6,7400,8098,8648,9243,9860,10496,11269,11902,12742,13660,14654
3,5,12,Florida,0,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18843326
3,5,12,Florida,1,13084373,13288274,13511056,13718024,14002125,14289528,14485480,14593854,14667399,14720593,14839169
3,5,12,Florida,2,2439447,2508333,2577932,2645514,2726256,2815695,2896799,2950879,3002382,3043554,3084936
3,5,12,Florida,3,59690,63742,67518,70896,74102,77463,81218,84024,86052,87562,89551
3,5,12,Florida,4,282536,300256,320759,341284,365752,393025,417297,435503,450732,463383,476846
3,5,12,Florida,5,11127,11782,12498,13236,14365,15695,16648,17492,18056,18572,18928
3,5,12,Florida,6,170342,184579,199607,215131,232718,250632,269548,286090,302684,318980,333896
3,5,13,Georgia,0,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9712587
3,5,13,Georgia,1,5556989,5626978,5682323,5728088,5788756,5854820,5953097,6035687,6094787,6128558,6156314
3,5,13,Georgia,2,2384774,2439572,2490704,2536506,2596632,2660022,2759169,2840424,2906606,2962318,3003873
3,5,13,Georgia,3,24509,26742,29021,31034,33319,35478,38307,40788,43712,46412,48880
3,5,13,Georgia,4,181306,195366,209316,222292,236110,252126,270446,286636,301790,314377,325573
3,5,13,Georgia,5,5392,5856,6406,6775,7284,7632,8287,8801,9301,9965,10528
3,5,13,Georgia,6,74333,82524,90486,98098,107151,115844,126507,137652,148647,159216,167419
4,9,15,Hawaii,0,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363621
4,9,15,Hawaii,1,311643,317697,323116,325671,331483,338640,344813,341883,345948,347116,348713
4,9,15,Hawaii,2,22938,24966,26235,25480,24511,25064,24767,23364,23180,22995,22654
4,9,15,Hawaii,3,3684,4129,4403,4579,4692,4844,5043,4957,5025,5138,5144
4,9,15,Hawaii,4,512959,512276,512808,514417,520052,522108,523840,524348,526334,528867,534212
4,9,15,Hawaii,5,116469,118092,120131,122484,125650,128237,130347,132417,134645,136533,138679
4,9,15,Hawaii,6,245826,248788,252920,258523,267181,273836,280921,288706,297081,306068,314219
4,8,16,Idaho,0,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1571450
4,8,16,Idaho,1,1244029,1261313,1278798,1298524,1323502,1355373,1391427,1423152,1448715,1465210,1479357
4,8,16,Idaho,2,5929,6582,7098,7577,8173,8832,9506,10175,10570,11104,10988
4,8,16,Idaho,3,18599,19163,19730,20275,20862,21810,22590,23482,24388,25096,25854
4,8,16,Idaho,4,12551,13124,13634,14456,15255,16326,17313,18439,19037,19666,20134
4,8,16,Idaho,5,1479,1656,1768,1854,1952,2100,2233,2467,2561,2700,2777
4,8,16,Idaho,6,16843,18124,19344,20694,22058,23800,25600,27390,29049,30663,32340
2,3,17,Illinois,0,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12843166
2,3,17,Illinois,1,9926774,9950330,9959242,9964017,9970145,9964479,9967930,9986807,10005771,10021665,10035802
2,3,17,Illinois,2,1904071,1905312,1904805,1902184,1901496,1898861,1898778,1898664,1899301,1901265,1906506
2,3,17,Illinois,3,37313,40510,43515,46808,50305,53745,57498,61312,65428,70322,74173
2,3,17,Illinois,4,440259,458224,475938,492522,508408,524593,542040,560914,577412,593539,607348
