REGION,DIVISION,STATE,NAME,RACE,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010
4,9,41,Oregon,2,58647,60227,62011,63003,63707,65155,67322,69349,71549,73298,74669
4,9,41,Oregon,3,47926,49314,50737,52277,53848,55801,57663,60115,62610,65108,67045
4,9,41,Oregon,4,105157,109603,114037,117792,120653,124996,130039,134572,138328,142352,145912
4,9,41,Oregon,5,8731,9338,9925,10539,10948,11619,12245,12938,13469,14273,14719
4,9,41,Oregon,6,76561,80782,85349,89690,93745,98856,104604,110293,115959,122174,127671
1,2,42,Pennsylvania,0,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12709630
1,2,42,Pennsylvania,1,10670718,10651965,10645010,10646774,10638463,10631953,10643317,10648442,10649979,10659092,10664819
1,2,42,Pennsylvania,2,1261602,1273174,1287953,1304608,1323311,1342155,1364087,1384015,1403066,1421059,1434966
1,2,42,Pennsylvania,3,20164,22059,23896,25790,27809,29735,31717,33991,36226,38449,39921
1,2,42,Pennsylvania,4,228049,239637,252897,266870,280279,294268,308789,322476,335116,348126,359947
1,2,42,Pennsylvania,5,4478,4600,4808,5055,5414,5807,6111,6411,6730,6832,7172
1,2,42,Pennsylvania,6,99162,107535,116467,125561,135446,146072,156788,168602,181168,193300,202805
1,1,44,Rhode Island,0,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1052886
1,1,44,Rhode Island,1,943392,945933,949738,950441,949376,939748,932328,923855,918265,913480,910062
1,1,44,Rhode Island,2,60320,62318,64599,66719,68779,69875,70831,72053,73099,74365,75196
1,1,44,Rhode Island,3,5994,6305,6674,7057,7322,7704,8034,8155,8477,8886,9160
1,1,44,Rhode Island,4,25617,26460,27675,28678,29458,29915,30096,30366,31015,31502,31860
1,1,44,Rhode Island,5,1140,1215,1272,1336,1370,1449,1434,1501,1497,1602,1588
1,1,44,Rhode Island,6,13805,14911,16037,17111,18274,19225,20373,21385,22650,23811,25020
3,5,45,South Carolina,0,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4636312
3,5,45,South Carolina,1,2745477,2771630,2801386,2829623,2872043,2914430,2977023,3040155,3098698,3141756,3169435
3,5,45,South Carolina,2,1194520,1203169,1209656,1217203,1228313,1237906,1254565,1268537,1285421,1295429,1307425
3,5,45,South Carolina,3,14589,15541,16527,17346,18357,19310,20473,21728,23133,23923,24752
3,5,45,South Carolina,4,37618,39212,41351,43718,46241,48895,51637,54727,57416,59657,61635
3,5,45,South Carolina,5,1857,2085,2294,2484,2659,2896,3134,3350,3695,3817,3967
3,5,45,South Carolina,6,30162,33358,36581,39923,43308,46713,51015,55613,60633,65290,69098
2,4,46,South Dakota,0,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816463
2,4,46,South Dakota,1,674595,674503,674297,675551,679638,682268,687117,692596,697376,701817,708383
2,4,46,South Dakota,2,4985,5538,6076,6575,7052,7582,8094,8806,9361,10104,10550
2,4,46,South Dakota,3,62763,63495,64257,65226,66358,67149,68308,69565,70827,71791,73016
2,4,46,South Dakota,4,4510,4783,5036,5386,5722,5971,6377,6695,6847,7615,7794
2,4,46,South Dakota,5,269,300,363,365,400,446,429,475,508,533,508
2,4,46,South Dakota,6,8722,9353,9991,10626,11226,12077,12708,13486,14205,15207,16212
3,6,47,Tennessee,0,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6356897
3,6,47,Tennessee,1,4635849,4662873,4687848,4719321,4758617,4812899,4880336,4942949,4994148,5031693,5062408
3,6,47,Tennessee,2,941527,953361,964948,976542,990590,1006150,1025289,1037827,1048329,1059243,1071277
3,6,47,Tennessee,3,16125,17253,18108,18914,19946,20872,21852,23727,24791,25799,26360
3,6,47,Tennessee,4,59008,61638,65080,68694,72693,76828,81183,85203,88277,91483,94450
3,6,47,Tennessee,5,2540,2811,3053,3259,3557,3901,4279,4685,4883,5329,5441
3,6,47,Tennessee,6,48670,52853,56881,61082,65406,70407,75827,81336,86983,92472,96961
3,7,48,Texas,0,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25257114
3,7,48,Texas,1,17525167,17788213,18048885,18288277,18543328,18808038,19161346,19495829,19826396,20162083,20478826
3,7,48,Texas,2,2461903,2511451,2558084,2598399,2644550,2696184,2840751,2893199,2952533,3020504,3081825
3,7,48,Texas,3,140047,147419,154930,162803,171752,181696,193844,206953,221760,238217,252721
3,7,48,Texas,4,594335,631951,670055,705573,739882,778158,825341,873102,920343,967252,1007273
3,7,48,Texas,5,20741,21654,22535,23317,24151,25133,26288,27744,29094,30395,31452
3,7,48,Texas,6,202306,218934,235836,252562,270360,288914,312010,335156,358913,383310,405017
4,8,49,Utah,0,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2776469
4,8,49,Utah,1,2109989,2142381,2176691,2206161,2241095,2289230,2347641,2409092,2464247,2514266,2558131
4,8,49,Utah,2,19465,20811,22021,22684,23873,25405,27173,29397,30893,32768,34072
4,8,49,Utah,3,31370,31648,32370,32712,33272,34192,35336,36955,38241,39563,40947
4,8,49,Utah,4,39186,40848,42425,43809,45460,47142,49387,51363,53811,56305,58297
4,8,49,Utah,5,16223,17084,17815,18637,19432,20380,21302,22656,24014,25204,26214
4,8,49,Utah,6,28269,30943,33493,36134,38448,41370,44668,48283,51823,55315,58808
1,1,50,Vermont,0,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625960
1,1,50,Vermont,1,592031,593614,595803,597224,598348,598555,599014,598657,598535,597923,598607
1,1,50,Vermont,2,3251,3618,3882,4243,4599,4958,5386,5640,6051,6534,6416
1,1,50,Vermont,3,2490,2534,2490,2447,2467,2406,2417,2362,2370,2379,2270
1,1,50,Vermont,4,5462,5798,6189,6482,6684,6971,7316,7671,7676,7983,8062
1,1,50,Vermont,5,149,157,151,162,155,164,172,181,171,174,188
1,1,50,Vermont,6,6235,6502,6927,7300,7667,8161,8587,8970,9348,9824,10417
3,5,51,Virginia,0,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8024617
3,5,51,Virginia,1,5291975,5342181,5387673,5427062,5484790,5535129,5579437,5611286,5647186,5690274,5737904
3,5,51,Virginia,2,1416671,1431476,1446516,1459320,1479563,1497615,1518543,1532613,1548267,1565478,1585613
3,5,51,Virginia,3,23233,25126,26881,28534,30429,32188,33938,35756,37665,39888,41770
3,5,51,Virginia,4,271565,288780,306208,323616,342482,362814,381441,399640,416988,434370,452281
3,5,51,Virginia,5,4654,5077,5359,5688,6035,6452,6847,7187,7564,7987,8261
3,5,51,Virginia,6,97719,105722,114236,122757,132276,142907,153519,164518,175826,187940,198788
4,9,53,Washington,0,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6744496
4,9,53,Washington,1,5089730,5131720,5166047,5188400,5228882,5271430,5339831,5389485,5445589,5505691,5548035
4,9,53,Washington,2,199718,205250,210038,212949,217049,221729,229193,234347,242340,250117,253407
4,9,53,Washington,3,97315,99254,100972,103046,105992,108415,111104,114361,117951,120524,123258
4,9,53,Washington,4,334430,349658,364599,378181,392988,409177,429033,446725,463498,480895,495202
4,9,53,Washington,5,25684,27128,28601,30112,31757,33568,35683,37663,39945,42221,43781
4,9,53,Washington,6,163635,172712,182092,191427,201977,212986,225909,239006,252908,267978,280813
3,5,54,West Virginia,0,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1853973
3,5,54,West Virginia,1,1721633,1715007,1717331,1722107,1724169,1726255,1730899,1734522,1738166,1742732,1746987
3,5,54,West Virginia,2,57767,57651,57975,58573,59041,59437,60562,61393,62258,63417,64006
3,5,54,West Virginia,3,3672,3693,3737,3737,3798,3851,3895,3948,4032,4052,3954
3,5,54,West Virginia,4,9732,9895,10141,10581,11017,11186,11621,11925,12118,12591,12672
3,5,54,West Virginia,5,424,464,461,477,459,453,479,476,510,451,481
3,5,54,West Virginia,6,13793,14771,15769,16820,17954,19310,20456,21788,23226,24532,25873
2,3,55,Wisconsin,0,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5691047
2,3,55,Wisconsin,1,4871484,4889223,4911636,4931084,4952000,4969387,4985569,5002847,5017423,5030324,5038904
2,3,55,Wisconsin,2,310480,316863,323469,329090,334119,339638,345509,351506,357415,363022,367753
2,3,55,Wisconsin,3,48554,49462,50616,51731,52828,54053,55182,56594,57734,58819,60238
2,3,55,Wisconsin,4,92168,96290,100672,104870,108872,112812,116862,120879,125054,129070,132405
2,3,55,Wisconsin,5,1839,1949,2013,2040,2108,2179,2296,2356,2438,2562,2505
2,3,55,Wisconsin,6,49474,53048,56756,60388,64099,68097,72237,76593,80932,85467,89242
4,8,56,Wyoming,0,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564460
4,8,56,Wyoming,1,469875,469145,473616,476461,481147,485347,492607,503310,513386,525475,529679
4,8,56,Wyoming,2,3940,4181,4285,4330,4530,4574,4671,4945,4914,5402,5101
4,8,56,Wyoming,3,11429,11812,12071,12142,12414,12609,13064,13562,13966,14304,14438
4,8,56,Wyoming,4,2931,3065,3216,3361,3480,3630,3878,4030,4255,4596,4640
4,8,56,Wyoming,5,328,381,403,412,425,433,481,495,503,503,504
4,8,56,Wyoming,6,5797,6073,6426,6747,7110,7564,7966,8534,9019,9571,10098
