Rhode Island,38.3,46.2,38.9,33.5,27.8,27.5,29.2,27.6,25.8,22.4,21.3,19.8,17.5,15.8,14.3,13,11.4
South Carolina,65.1,69.7,60.2,57.8,48.7,52,51.9,51.2,47,42.9,38.9,36.4,31.7,28.5,26.2,23.7,21.7
South Dakota,46.1,48.3,40.1,38,36.8,38.7,41.3,39.1,38.7,34.8,34.4,33.5,29.6,26.8,26.5,24.9,22.3
Tennessee,64.3,70.9,64.5,59.3,53.3,52.1,53.4,52.2,48.4,43.5,40.8,38.4,34.8,33.2,30.6,27.9,26.6
Texas,69.1,78.2,73.1,68.5,60.9,61.6,61.8,60.7,57.9,52.2,46.8,44.2,40.7,37.6,34.4,30.7,27.5
Utah,46,45.7,41.2,38,30.5,33.3,35.4,34.6,30.7,28,23.8,23.3,20.8,19.6,17.9,15.7,15.1
Vermont,33.6,35.6,29.5,23.4,17.4,19.8,21,20.3,17.3,17.9,16.7,16.2,14.5,14.3,11.5,10.2,10
Virginia,45.5,51.7,45.4,40.7,33.6,34.2,34.2,32.5,30.4,27.4,24.5,22.9,20.1,18.5,17.1,15.5,15
Washington,47.1,51,45.6,39,31.1,32.2,33.3,32.8,30.4,26.9,25.3,23.3,20.5,19.2,17.6,16.6,14.7
West Virginia,49.9,56.3,50.5,46.5,42.2,44.2,45.8,46.9,48.2,45.2,43.9,43.9,40.2,36.6,32.1,29.4,27.1
Wisconsin,38.3,42,36.9,35.1,29.7,29.9,31.1,30.3,29.4,26.2,23.3,21.8,19.5,18,16.2,15,13.8
Wyoming,49.3,49.8,44.7,41.6,42.7,46,49.9,47.5,43.4,39.4,35.2,34.9,29.9,30.8,28.8,26.5,24.5
