Rhode Island,35.7,34.5,30.6,22.8,20.1,19.7,18.6,18.5,16.4,15.8,14.4,11.3,9.7,7.3,8.1,8.4,7.7
South Carolina,32.6,23,18.7,17,15.7,15.5,15.4,13.9,14,13.2,10.8,9.9,9.1,8.1,7.4,6.7,6.9
South Dakota,15.1,14.4,11.4,7.1,5.6,5.4,6.3,5.5,5.5,4.3,4.8,3.8,3.3,3.3,2.6,2.6,3.3
Tennessee,30.1,23.9,17.4,15.7,11.9,13.2,11.6,11.9,10.8,9.4,8.4,7.7,6.8,6.2,5.5,5,4.4
Texas,30.4,25.5,22.4,17.1,12.9,15.2,14.6,14.5,13.6,12,10.5,9.1,8,6,5.5,5.2,5.2
Utah,15.5,8.9,7.3,5.8,5.6,6,6.2,5.8,4.9,4.1,4.1,3.7,3.5,3.2,3.1,2.8,3.1
Vermont,36.8,25.7,23.2,14.1,15.4,13.7,12.8,12.8,10.4,9.4,10.5,8.8,9.5,8,6.3,7.1,5.1
Virginia,44.6,35,29.6,20.7,17.6,16.9,16.9,15.4,14.8,13.9,12.4,11.2,10.6,7.6,7.4,6.7,5.9
Washington,45.7,41.9,28.9,25.8,19.9,19.9,20.6,19.4,17.7,15.9,14.8,12.9,11.2,10,9.5,8.7,8.1
West Virginia,16.8,16.2,12.5,9.6,8.4,7.5,8.5,7.7,8.9,9.3,9.6,6.3,5.1,5.1,4.3,4.6,4.1
Wisconsin,28.3,20.6,15.7,12,9.4,8.9,8.2,8.1,7.6,6.9,5.7,5.1,4.5,4.5,4.5,4,3.9
Wyoming,23.2,19.4,17.5,25.9,11.7,11.3,11.3,9.9,8.9,8,8.9,7.1,5.5,5.6,5,4.5,4.6
