,STATE,YEAR,Pregnancy Rate per 1000 People,AGE,Pregnancy Rate per 1000 People (Adjusted),"Pregnancy Rate per 100,000 People (Adjusted)"
484,Kansas,1992,90.3,15-19,-9.814,-981.4
485,Kansas,1993,87.225,15-19,-9.501,-950.1
486,Kansas,1994,84.15,15-19,-9.188,-918.8
487,Kansas,1995,81.075,15-19,-8.875,-887.5
488,Kansas,1996,78,15-19,-8.562,-856.2
489,Kansas,1997,75.675,15-19,-8.4195,-841.95
490,Kansas,1998,73.35,15-19,-8.277,-827.7
491,Kansas,1999,71.025,15-19,-8.1345,-813.45
492,Kansas,2000,68.7,15-19,-8.876470588,-887.6470588
493,Kansas,2001,66.66,15-19,-8.278039216,-827.8039216
494,Kansas,2002,64.62,15-19,-7.679607843,-767.9607843
495,Kansas,2003,62.58,15-19,-7.081176471,-708.1176471
496,Kansas,2004,60.54,15-19,-6.482745098,-648.2745098
497,Kansas,2005,58.5,15-19,-5.884313725,-588.4313725
498,Kansas,2006,59.6,15-19,-6.611764706,-661.1764706
499,Kansas,2007,61,15-19,-5.807843137,-580.7843137
500,Kansas,2008,63,15-19,-2.388235294,-238.8235294
501,Kansas,2009,59.4,15-19,-1.774509804,-177.4509804
502,Kansas,2010,53.1,15-19,-2.515686275,-251.5686275
503,Kansas,2011,48.2,15-19,-2.601960784,-260.1960784
504,Kansas,2012,46.4,15-19,-0.364705882,-36.47058824
505,Kansas,2013,40.3,15-19,-1.72745098,-172.745098
506,Kansas,2014,37.7,15-19,-0.650980392,-65.09803922
507,Kansas,2015,34.7,15-19,-0.596078431,-59.60784314
508,Kansas,2016,30,15-19,-2.429411765,-242.9411765
509,Kansas,2017,29.7,15-19,-0.701960784,-70.19607843
510,Kentucky,1988,97.2,15-19,-3.582,-358.2
511,Kentucky,1989,97.65,15-19,-2.965,-296.5
512,Kentucky,1990,98.1,15-19,-2.348,-234.8
513,Kentucky,1991,98.55,15-19,-1.731,-173.1
514,Kentucky,1992,99,15-19,-1.114,-111.4
515,Kentucky,1993,95.925,15-19,-0.801,-80.1
516,Kentucky,1994,92.85,15-19,-0.488,-48.8
517,Kentucky,1995,89.775,15-19,-0.175,-17.5
518,Kentucky,1996,86.7,15-19,0.138,13.8
519,Kentucky,1997,83.8,15-19,-0.2945,-29.45
520,Kentucky,1998,80.9,15-19,-0.727,-72.7
521,Kentucky,1999,78,15-19,-1.1595,-115.95
522,Kentucky,2000,75.1,15-19,-2.476470588,-247.6470588
523,Kentucky,2001,73.02,15-19,-1.918039216,-191.8039216
524,Kentucky,2002,70.94,15-19,-1.359607843,-135.9607843
525,Kentucky,2003,68.86,15-19,-0.801176471,-80.11764706
526,Kentucky,2004,66.78,15-19,-0.242745098,-24.2745098
527,Kentucky,2005,64.7,15-19,0.315686275,31.56862745
528,Kentucky,2006,70.5,15-19,4.288235294,428.8235294
529,Kentucky,2007,71.1,15-19,4.292156863,429.2156863
530,Kentucky,2008,70.8,15-19,5.411764706,541.1764706
531,Kentucky,2009,67.5,15-19,6.325490196,632.5490196
532,Kentucky,2010,62.4,15-19,6.784313725,678.4313725
533,Kentucky,2011,58.5,15-19,7.698039216,769.8039216
534,Kentucky,2012,54.9,15-19,8.135294118,813.5294118
535,Kentucky,2013,52.1,15-19,10.07254902,1007.254902
536,Kentucky,2014,47.2,15-19,8.849019608,884.9019608
537,Kentucky,2015,42.8,15-19,7.503921569,750.3921569
538,Kentucky,2016,40.9,15-19,8.470588235,847.0588235
539,Kentucky,2017,38.5,15-19,8.098039216,809.8039216
540,Louisiana,1988,107.1,15-19,6.318,631.8
541,Louisiana,1989,107.35,15-19,6.735,673.5
542,Louisiana,1990,107.6,15-19,7.152,715.2
543,Louisiana,1991,107.85,15-19,7.569,756.9
544,Louisiana,1992,108.1,15-19,7.986,798.6
545,Louisiana,1993,105.35,15-19,8.624,862.4
546,Louisiana,1994,102.6,15-19,9.262,926.2
547,Louisiana,1995,99.85,15-19,9.9,990
548,Louisiana,1996,97.1,15-19,10.538,1053.8
549,Louisiana,1997,94.55,15-19,10.4555,1045.55
550,Louisiana,1998,92,15-19,10.373,1037.3
551,Louisiana,1999,89.45,15-19,10.2905,1029.05
552,Louisiana,2000,86.9,15-19,9.323529412,932.3529412
553,Louisiana,2001,82.98,15-19,8.041960784,804.1960784
554,Louisiana,2002,79.06,15-19,6.760392157,676.0392157
555,Louisiana,2003,75.14,15-19,5.478823529,547.8823529
556,Louisiana,2004,71.22,15-19,4.197254902,419.7254902
557,Louisiana,2005,67.3,15-19,2.915686275,291.5686275
558,Louisiana,2006,77,15-19,10.78823529,1078.823529
559,Louisiana,2007,80.1,15-19,13.29215686,1329.215686
560,Louisiana,2008,80.3,15-19,14.91176471,1491.176471
561,Louisiana,2009,76.4,15-19,15.2254902,1522.54902
562,Louisiana,2010,69.6,15-19,13.98431373,1398.431373
563,Louisiana,2011,65.9,15-19,15.09803922,1509.803922
564,Louisiana,2012,60.6,15-19,13.83529412,1383.529412
565,Louisiana,2013,54.6,15-19,12.57254902,1257.254902
566,Louisiana,2014,49.8,15-19,11.44901961,1144.901961
567,Louisiana,2015,47.7,15-19,12.40392157,1240.392157
568,Louisiana,2016,43.7,15-19,11.27058824,1127.058824
569,Louisiana,2017,41.3,15-19,10.89803922,1089.803922
570,Maine,1988,81.3,15-19,-19.482,-1948.2
571,Maine,1989,78.575,15-19,-22.04,-2204
572,Maine,1990,75.85,15-19,-24.598,-2459.8
573,Maine,1991,73.125,15-19,-27.156,-2715.6
574,Maine,1992,70.4,15-19,-29.714,-2971.4
575,Maine,1993,67.5,15-19,-29.226,-2922.6
576,Maine,1994,64.6,15-19,-28.738,-2873.8
577,Maine,1995,61.7,15-19,-28.25,-2825
578,Maine,1996,58.8,15-19,-27.762,-2776.2
579,Maine,1997,56.975,15-19,-27.1195,-2711.95
580,Maine,1998,55.15,15-19,-26.477,-2647.7
581,Maine,1999,53.325,15-19,-25.8345,-2583.45
582,Maine,2000,51.5,15-19,-26.07647059,-2607.647059
583,Maine,2001,49.76,15-19,-25.17803922,-2517.803922
584,Maine,2002,48.02,15-19,-24.27960784,-2427.960784
585,Maine,2003,46.28,15-19,-23.38117647,-2338.117647
586,Maine,2004,44.54,15-19,-22.4827451,-2248.27451
587,Maine,2005,42.8,15-19,-21.58431373,-2158.431373
588,Maine,2006,42.6,15-19,-23.61176471,-2361.176471
589,Maine,2007,44.7,15-19,-22.10784314,-2210.784314
590,Maine,2008,43,15-19,-22.38823529,-2238.823529
591,Maine,2009,40.5,15-19,-20.6745098,-2067.45098
592,Maine,2010,36.9,15-19,-18.71568627,-1871.568627
593,Maine,2011,34,15-19,-16.80196078,-1680.196078
594,Maine,2012,32.9,15-19,-13.86470588,-1386.470588
595,Maine,2013,29.4,15-19,-12.62745098,-1262.745098
596,Maine,2014,27.4,15-19,-10.95098039,-1095.098039
597,Maine,2015,25.5,15-19,-9.796078431,-979.6078431
598,Maine,2016,24.1,15-19,-8.329411765,-832.9411765
599,Maine,2017,22.9,15-19,-7.501960784,-750.1960784
600,Maryland,1988,124,15-19,23.218,2321.8
601,Maryland,1989,122.45,15-19,21.835,2183.5
602,Maryland,1990,120.9,15-19,20.452,2045.2
603,Maryland,1991,119.35,15-19,19.069,1906.9
604,Maryland,1992,117.8,15-19,17.686,1768.6
605,Maryland,1993,114.625,15-19,17.899,1789.9
606,Maryland,1994,111.45,15-19,18.112,1811.2
607,Maryland,1995,108.275,15-19,18.325,1832.5
608,Maryland,1996,105.1,15-19,18.538,1853.8
609,Maryland,1997,101.625,15-19,17.5305,1753.05
610,Maryland,1998,98.15,15-19,16.523,1652.3
611,Maryland,1999,94.675,15-19,15.5155,1551.55
612,Maryland,2000,91.2,15-19,13.62352941,1362.352941
613,Maryland,2001,86.16,15-19,11.22196078,1122.196078
614,Maryland,2002,81.12,15-19,8.820392157,882.0392157
615,Maryland,2003,76.08,15-19,6.418823529,641.8823529
616,Maryland,2004,71.04,15-19,4.017254902,401.7254902
617,Maryland,2005,66,15-19,1.615686275,161.5686275
618,Maryland,2006,65.9,15-19,-0.311764706,-31.17647059
619,Maryland,2007,66.3,15-19,-0.507843137,-50.78431373
620,Maryland,2008,63.6,15-19,-1.788235294,-178.8235294
621,Maryland,2009,61.5,15-19,0.325490196,32.54901961
622,Maryland,2010,57.7,15-19,2.084313725,208.4313725
623,Maryland,2011,55.2,15-19,4.398039216,439.8039216
624,Maryland,2012,46.5,15-19,-0.264705882,-26.47058824
625,Maryland,2013,41.9,15-19,-0.12745098,-12.74509804
626,Maryland,2014,38.1,15-19,-0.250980392,-25.09803922
627,Maryland,2015,35,15-19,-0.296078431,-29.60784314
628,Maryland,2016,33.1,15-19,0.670588235,67.05882353
629,Maryland,2017,31,15-19,0.598039216,59.80392157
630,Massachusetts,1988,94.9,15-19,-5.882,-588.2
631,Massachusetts,1989,92.75,15-19,-7.865,-786.5
632,Massachusetts,1990,90.6,15-19,-9.848,-984.8
633,Massachusetts,1991,88.45,15-19,-11.831,-1183.1
634,Massachusetts,1992,86.3,15-19,-13.814,-1381.4
635,Massachusetts,1993,83.725,15-19,-13.001,-1300.1
636,Massachusetts,1994,81.15,15-19,-12.188,-1218.8
637,Massachusetts,1995,78.575,15-19,-11.375,-1137.5
638,Massachusetts,1996,76,15-19,-10.562,-1056.2
639,Massachusetts,1997,71.825,15-19,-12.2695,-1226.95
640,Massachusetts,1998,67.65,15-19,-13.977,-1397.7
641,Massachusetts,1999,63.475,15-19,-15.6845,-1568.45
642,Massachusetts,2000,59.3,15-19,-18.27647059,-1827.647059
643,Massachusetts,2001,56.54,15-19,-18.39803922,-1839.803922
644,Massachusetts,2002,53.78,15-19,-18.51960784,-1851.960784
645,Massachusetts,2003,51.02,15-19,-18.64117647,-1864.117647
646,Massachusetts,2004,48.26,15-19,-18.7627451,-1876.27451
647,Massachusetts,2005,45.5,15-19,-18.88431373,-1888.431373
648,Massachusetts,2006,45.8,15-19,-20.41176471,-2041.176471
649,Massachusetts,2007,46.9,15-19,-19.90784314,-1990.784314
650,Massachusetts,2008,42.7,15-19,-22.68823529,-2268.823529
651,Massachusetts,2009,41,15-19,-20.1745098,-2017.45098
652,Massachusetts,2010,36.4,15-19,-19.21568627,-1921.568627
653,Massachusetts,2011,32.6,15-19,-18.20196078,-1820.196078
654,Massachusetts,2012,30.2,15-19,-16.56470588,-1656.470588
655,Massachusetts,2013,24.4,15-19,-17.62745098,-1762.745098
656,Massachusetts,2014,22,15-19,-16.35098039,-1635.098039
657,Massachusetts,2015,19.4,15-19,-15.89607843,-1589.607843
658,Massachusetts,2016,17.9,15-19,-14.52941176,-1452.941176
659,Massachusetts,2017,16.4,15-19,-14.00196078,-1400.196078
660,Michigan,1988,108.4,15-19,7.618,761.8
661,Michigan,1989,108.375,15-19,7.76,776
662,Michigan,1990,108.35,15-19,7.902,790.2
663,Michigan,1991,108.325,15-19,8.044,804.4
664,Michigan,1992,108.3,15-19,8.186,818.6
665,Michigan,1993,102.975,15-19,6.249,624.9
666,Michigan,1994,97.65,15-19,4.312,431.2
667,Michigan,1995,92.325,15-19,2.375,237.5
668,Michigan,1996,87,15-19,0.438,43.8
669,Michigan,1997,83.95,15-19,-0.1445,-14.45
670,Michigan,1998,80.9,15-19,-0.727,-72.7
671,Michigan,1999,77.85,15-19,-1.3095,-130.95
672,Michigan,2000,74.8,15-19,-2.776470588,-277.6470588
673,Michigan,2001,71.84,15-19,-3.098039216,-309.8039216
674,Michigan,2002,68.88,15-19,-3.419607843,-341.9607843
675,Michigan,2003,65.92,15-19,-3.741176471,-374.1176471
676,Michigan,2004,62.96,15-19,-4.062745098,-406.2745098
677,Michigan,2005,60,15-19,-4.384313725,-438.4313725
678,Michigan,2006,59.7,15-19,-6.511764706,-651.1764706
679,Michigan,2007,59,15-19,-7.807843137,-780.7843137
680,Michigan,2008,58.4,15-19,-6.988235294,-698.8235294
681,Michigan,2009,56.7,15-19,-4.474509804,-447.4509804
682,Michigan,2010,52.3,15-19,-3.315686275,-331.5686275
683,Michigan,2011,47.4,15-19,-3.401960784,-340.1960784
684,Michigan,2012,43.5,15-19,-3.264705882,-326.4705882
685,Michigan,2013,39.2,15-19,-2.82745098,-282.745098
686,Michigan,2014,35.3,15-19,-3.050980392,-305.0980392
687,Michigan,2015,31.9,15-19,-3.396078431,-339.6078431
688,Michigan,2016,29.5,15-19,-2.929411765,-292.9411765
689,Michigan,2017,27.4,15-19,-3.001960784,-300.1960784
690,Minnesota,1988,69,15-19,-31.782,-3178.2
691,Minnesota,1989,67.625,15-19,-32.99,-3299
692,Minnesota,1990,66.25,15-19,-34.198,-3419.8
693,Minnesota,1991,64.875,15-19,-35.406,-3540.6
694,Minnesota,1992,63.5,15-19,-36.614,-3661.4
695,Minnesota,1993,61.575,15-19,-35.151,-3515.1
696,Minnesota,1994,59.65,15-19,-33.688,-3368.8
697,Minnesota,1995,57.725,15-19,-32.225,-3222.5
698,Minnesota,1996,55.8,15-19,-30.762,-3076.2
699,Minnesota,1997,54.275,15-19,-29.8195,-2981.95
700,Minnesota,1998,52.75,15-19,-28.877,-2887.7
701,Minnesota,1999,51.225,15-19,-27.9345,-2793.45
702,Minnesota,2000,49.7,15-19,-27.87647059,-2787.647059
703,Minnesota,2001,48.22,15-19,-26.71803922,-2671.803922
704,Minnesota,2002,46.74,15-19,-25.55960784,-2555.960784
705,Minnesota,2003,45.26,15-19,-24.40117647,-2440.117647
706,Minnesota,2004,43.78,15-19,-23.2427451,-2324.27451
707,Minnesota,2005,42.3,15-19,-22.08431373,-2208.431373
708,Minnesota,2006,44.4,15-19,-21.81176471,-2181.176471
709,Minnesota,2007,45.5,15-19,-21.30784314,-2130.784314
710,Minnesota,2008,42.5,15-19,-22.88823529,-2288.823529
711,Minnesota,2009,39,15-19,-22.1745098,-2217.45098
712,Minnesota,2010,35.4,15-19,-20.21568627,-2021.568627
713,Minnesota,2011,31.3,15-19,-19.50196078,-1950.196078
714,Minnesota,2012,29.3,15-19,-17.46470588,-1746.470588
715,Minnesota,2013,26.4,15-19,-15.62745098,-1562.745098
716,Minnesota,2014,24,15-19,-14.35098039,-1435.098039
717,Minnesota,2015,21.5,15-19,-13.79607843,-1379.607843
718,Minnesota,2016,20.3,15-19,-12.12941176,-1212.941176
719,Minnesota,2017,19.7,15-19,-10.70196078,-1070.196078
720,Mississippi,1988,106.4,15-19,5.618,561.8
721,Mississippi,1989,110.15,15-19,9.535,953.5
722,Mississippi,1990,113.9,15-19,13.452,1345.2
723,Mississippi,1991,117.65,15-19,17.369,1736.9
724,Mississippi,1992,121.4,15-19,21.286,2128.6
725,Mississippi,1993,117.425,15-19,20.699,2069.9
726,Mississippi,1994,113.45,15-19,20.112,2011.2
727,Mississippi,1995,109.475,15-19,19.525,1952.5
728,Mississippi,1996,105.5,15-19,18.938,1893.8
729,Mississippi,1997,104.525,15-19,20.4305,2043.05
730,Mississippi,1998,103.55,15-19,21.923,2192.3
731,Mississippi,1999,102.575,15-19,23.4155,2341.55
732,Mississippi,2000,101.6,15-19,24.02352941,2402.352941
733,Mississippi,2001,97.72,15-19,22.78196078,2278.196078
734,Mississippi,2002,93.84,15-19,21.54039216,2154.039216
735,Mississippi,2003,89.96,15-19,20.29882353,2029.882353
736,Mississippi,2004,86.08,15-19,19.0572549,1905.72549
737,Mississippi,2005,82.2,15-19,17.81568627,1781.568627
738,Mississippi,2006,92.7,15-19,26.48823529,2648.823529
739,Mississippi,2007,95.7,15-19,28.89215686,2889.215686
740,Mississippi,2008,89.9,15-19,24.51176471,2451.176471
741,Mississippi,2009,85.9,15-19,24.7254902,2472.54902
742,Mississippi,2010,76.7,15-19,21.08431373,2108.431373
743,Mississippi,2011,69.6,15-19,18.79803922,1879.803922
744,Mississippi,2012,63.4,15-19,16.63529412,1663.529412
745,Mississippi,2013,58.2,15-19,16.17254902,1617.254902
746,Mississippi,2014,52.1,15-19,13.74901961,1374.901961
747,Mississippi,2015,47.2,15-19,11.90392157,1190.392157
748,Mississippi,2016,44.2,15-19,11.77058824,1177.058824
749,Mississippi,2017,42.6,15-19,12.19803922,1219.803922
750,Missouri,1988,99.4,15-19,-1.382,-138.2
751,Missouri,1989,99.5,15-19,-1.115,-111.5
752,Missouri,1990,99.6,15-19,-0.848,-84.8
753,Missouri,1991,99.7,15-19,-0.581,-58.1
754,Missouri,1992,99.8,15-19,-0.314,-31.4
755,Missouri,1993,95.075,15-19,-1.651,-165.1
756,Missouri,1994,90.35,15-19,-2.988,-298.8
757,Missouri,1995,85.625,15-19,-4.325,-432.5
758,Missouri,1996,80.9,15-19,-5.662,-566.2
759,Missouri,1997,79.1,15-19,-4.9945,-499.45
760,Missouri,1998,77.3,15-19,-4.327,-432.7
761,Missouri,1999,75.5,15-19,-3.6595,-365.95
762,Missouri,2000,73.7,15-19,-3.876470588,-387.6470588
763,Missouri,2001,71.42,15-19,-3.518039216,-351.8039216
764,Missouri,2002,69.14,15-19,-3.159607843,-315.9607843
765,Missouri,2003,66.86,15-19,-2.801176471,-280.1176471
766,Missouri,2004,64.58,15-19,-2.442745098,-244.2745098
767,Missouri,2005,62.3,15-19,-2.084313725,-208.4313725
768,Missouri,2006,65.8,15-19,-0.411764706,-41.17647059
769,Missouri,2007,66.1,15-19,-0.707843137,-70.78431373
770,Missouri,2008,64.7,15-19,-0.688235294,-68.82352941
771,Missouri,2009,59.9,15-19,-1.274509804,-127.4509804
772,Missouri,2010,54.4,15-19,-1.215686275,-121.5686275
773,Missouri,2011,50.5,15-19,-0.301960784,-30.19607843
774,Missouri,2012,47,15-19,0.235294118,23.52941176
775,Missouri,2013,43.2,15-19,1.17254902,117.254902
776,Missouri,2014,38.5,15-19,0.149019608,14.90196078
777,Missouri,2015,35.7,15-19,0.403921569,40.39215686
778,Missouri,2016,33.8,15-19,1.370588235,137.0588235
779,Missouri,2017,32.8,15-19,2.398039216,239.8039216
780,Montana,1988,74.6,15-19,-26.182,-2618.2
781,Montana,1989,76.225,15-19,-24.39,-2439
782,Montana,1990,77.85,15-19,-22.598,-2259.8
783,Montana,1991,79.475,15-19,-20.806,-2080.6
784,Montana,1992,81.1,15-19,-19.014,-1901.4
785,Montana,1993,77.35,15-19,-19.376,-1937.6
786,Montana,1994,73.6,15-19,-19.738,-1973.8
787,Montana,1995,69.85,15-19,-20.1,-2010
788,Montana,1996,66.1,15-19,-20.462,-2046.2
789,Montana,1997,64.55,15-19,-19.5445,-1954.45
790,Montana,1998,63,15-19,-18.627,-1862.7
791,Montana,1999,61.45,15-19,-17.7095,-1770.95
792,Montana,2000,59.9,15-19,-17.67647059,-1767.647059
793,Montana,2001,59,15-19,-15.93803922,-1593.803922
794,Montana,2002,58.1,15-19,-14.19960784,-1419.960784
795,Montana,2003,57.2,15-19,-12.46117647,-1246.117647
796,Montana,2004,56.3,15-19,-10.7227451,-1072.27451
797,Montana,2005,55.4,15-19,-8.984313725,-898.4313725
798,Montana,2006,57.6,15-19,-8.611764706,-861.1764706
799,Montana,2007,55,15-19,-11.80784314,-1180.784314
800,Montana,2008,59.1,15-19,-6.288235294,-628.8235294
801,Montana,2009,57.9,15-19,-3.274509804,-327.4509804
802,Montana,2010,52.9,15-19,-2.715686275,-271.5686275
803,Montana,2011,46.7,15-19,-4.101960784,-410.1960784
804,Montana,2012,44.1,15-19,-2.664705882,-266.4705882
805,Montana,2013,41.1,15-19,-0.92745098,-92.74509804
806,Montana,2014,39.3,15-19,0.949019608,94.90196078
807,Montana,2015,37.5,15-19,2.203921569,220.3921569
808,Montana,2016,34.2,15-19,1.770588235,177.0588235
809,Montana,2017,31.8,15-19,1.398039216,139.8039216
810,Nebraska,1988,76.9,15-19,-23.882,-2388.2
811,Nebraska,1989,75.4,15-19,-25.215,-2521.5
812,Nebraska,1990,73.9,15-19,-26.548,-2654.8
813,Nebraska,1991,72.4,15-19,-27.881,-2788.1
814,Nebraska,1992,70.9,15-19,-29.214,-2921.4
815,Nebraska,1993,68.65,15-19,-28.076,-2807.6
816,Nebraska,1994,66.4,15-19,-26.938,-2693.8
817,Nebraska,1995,64.15,15-19,-25.8,-2580
818,Nebraska,1996,61.9,15-19,-24.662,-2466.2
819,Nebraska,1997,61.1,15-19,-22.9945,-2299.45
820,Nebraska,1998,60.3,15-19,-21.327,-2132.7
821,Nebraska,1999,59.5,15-19,-19.6595,-1965.95
822,Nebraska,2000,58.7,15-19,-18.87647059,-1887.647059
823,Nebraska,2001,56.6,15-19,-18.33803922,-1833.803922
824,Nebraska,2002,54.5,15-19,-17.79960784,-1779.960784
825,Nebraska,2003,52.4,15-19,-17.26117647,-1726.117647
826,Nebraska,2004,50.3,15-19,-16.7227451,-1672.27451
827,Nebraska,2005,48.2,15-19,-16.18431373,-1618.431373
828,Nebraska,2006,46.3,15-19,-19.91176471,-1991.176471
829,Nebraska,2007,49.2,15-19,-17.60784314,-1760.784314
830,Nebraska,2008,50.6,15-19,-14.78823529,-1478.823529
831,Nebraska,2009,49,15-19,-12.1745098,-1217.45098
832,Nebraska,2010,43.2,15-19,-12.41568627,-1241.568627
833,Nebraska,2011,39.6,15-19,-11.20196078,-1120.196078
834,Nebraska,2012,37.3,15-19,-9.464705882,-946.4705882
835,Nebraska,2013,34.9,15-19,-7.12745098,-712.745098
836,Nebraska,2014,30.8,15-19,-7.550980392,-755.0980392
837,Nebraska,2015,30.4,15-19,-4.896078431,-489.6078431
838,Nebraska,2016,26.3,15-19,-6.129411765,-612.9411765
839,Nebraska,2017,25.4,15-19,-5.001960784,-500.1960784
840,Nevada,1988,139.4,15-19,38.618,3861.8
841,Nevada,1989,140.325,15-19,39.71,3971
842,Nevada,1990,141.25,15-19,40.802,4080.2
843,Nevada,1991,142.175,15-19,41.894,4189.4
844,Nevada,1992,143.1,15-19,42.986,4298.6
845,Nevada,1993,142.025,15-19,45.299,4529.9
846,Nevada,1994,140.95,15-19,47.612,4761.2
847,Nevada,1995,139.875,15-19,49.925,4992.5
848,Nevada,1996,138.8,15-19,52.238,5223.8
849,Nevada,1997,132.9,15-19,48.8055,4880.55
850,Nevada,1998,127,15-19,45.373,4537.3
851,Nevada,1999,121.1,15-19,41.9405,4194.05
852,Nevada,2000,115.2,15-19,37.62352941,3762.352941
853,Nevada,2001,110.82,15-19,35.88196078,3588.196078
854,Nevada,2002,106.44,15-19,34.14039216,3414.039216
855,Nevada,2003,102.06,15-19,32.39882353,3239.882353
856,Nevada,2004,97.68,15-19,30.6572549,3065.72549
857,Nevada,2005,93.3,15-19,28.91568627,2891.568627
858,Nevada,2006,93.7,15-19,27.48823529,2748.823529
859,Nevada,2007,90.9,15-19,24.09215686,2409.215686
860,Nevada,2008,84.7,15-19,19.31176471,1931.176471
861,Nevada,2009,76.8,15-19,15.6254902,1562.54902
862,Nevada,2010,68.9,15-19,13.28431373,1328.431373
863,Nevada,2011,61.9,15-19,11.09803922,1109.803922
864,Nevada,2012,56.4,15-19,9.635294118,963.5294118
865,Nevada,2013,49.5,15-19,7.47254902,747.254902
866,Nevada,2014,47.9,15-19,9.549019608,954.9019608
867,Nevada,2015,45.5,15-19,10.20392157,1020.392157
868,Nevada,2016,40.2,15-19,7.770588235,777.0588235
869,Nevada,2017,36.4,15-19,5.998039216,599.8039216
870,New Hampshire,1988,88.1,15-19,-12.682,-1268.2
871,New Hampshire,1989,81.45,15-19,-19.165,-1916.5
872,New Hampshire,1990,74.8,15-19,-25.648,-2564.8
873,New Hampshire,1991,68.15,15-19,-32.131,-3213.1
874,New Hampshire,1992,61.5,15-19,-38.614,-3861.4
875,New Hampshire,1993,60.425,15-19,-36.301,-3630.1
876,New Hampshire,1994,59.35,15-19,-33.988,-3398.8
877,New Hampshire,1995,58.275,15-19,-31.675,-3167.5
878,New Hampshire,1996,57.2,15-19,-29.362,-2936.2
879,New Hampshire,1997,54.6,15-19,-29.4945,-2949.45
880,New Hampshire,1998,52,15-19,-29.627,-2962.7
881,New Hampshire,1999,49.4,15-19,-29.7595,-2975.95
882,New Hampshire,2000,46.8,15-19,-30.77647059,-3077.647059
883,New Hampshire,2001,44.1,15-19,-30.83803922,-3083.803922
884,New Hampshire,2002,41.4,15-19,-30.89960784,-3089.960784
885,New Hampshire,2003,38.7,15-19,-30.96117647,-3096.117647
886,New Hampshire,2004,36,15-19,-31.0227451,-3102.27451
887,New Hampshire,2005,33.3,15-19,-31.08431373,-3108.431373
888,New Hampshire,2006,33.3,15-19,-32.91176471,-3291.176471
889,New Hampshire,2007,34.9,15-19,-31.90784314,-3190.784314
890,New Hampshire,2008,33.3,15-19,-32.08823529,-3208.823529
891,New Hampshire,2009,29.6,15-19,-31.5745098,-3157.45098
892,New Hampshire,2010,28.1,15-19,-27.51568627,-2751.568627
893,New Hampshire,2011,25.8,15-19,-25.00196078,-2500.196078
894,New Hampshire,2012,24.8,15-19,-21.96470588,-2196.470588
895,New Hampshire,2013,22.2,15-19,-19.82745098,-1982.745098
896,New Hampshire,2014,20.2,15-19,-18.15098039,-1815.098039
897,New Hampshire,2015,19.3,15-19,-15.99607843,-1599.607843
898,New Hampshire,2016,17.5,15-19,-14.92941176,-1492.941176
899,New Hampshire,2017,15.9,15-19,-14.50196078,-1450.196078
900,New Jersey,1988,108.2,15-19,7.418,741.8
901,New Jersey,1989,105.575,15-19,4.96,496
902,New Jersey,1990,102.95,15-19,2.502,250.2
903,New Jersey,1991,100.325,15-19,0.044,4.4
904,New Jersey,1992,97.7,15-19,-2.414,-241.4
905,New Jersey,1993,97.475,15-19,0.749,74.9
906,New Jersey,1994,97.25,15-19,3.912,391.2
907,New Jersey,1995,97.025,15-19,7.075,707.5
908,New Jersey,1996,96.8,15-19,10.238,1023.8
909,New Jersey,1997,95.325,15-19,11.2305,1123.05
910,New Jersey,1998,93.85,15-19,12.223,1222.3
911,New Jersey,1999,92.375,15-19,13.2155,1321.55
912,New Jersey,2000,90.9,15-19,13.32352941,1332.352941
913,New Jersey,2001,86.92,15-19,11.98196078,1198.196078
914,New Jersey,2002,82.94,15-19,10.64039216,1064.039216
915,New Jersey,2003,78.96,15-19,9.298823529,929.8823529
916,New Jersey,2004,74.98,15-19,7.957254902,795.7254902
917,New Jersey,2005,71,15-19,6.615686275,661.5686275
918,New Jersey,2006,68.7,15-19,2.488235294,248.8235294
919,New Jersey,2007,61.4,15-19,-5.407843137,-540.7843137
920,New Jersey,2008,62.1,15-19,-3.288235294,-328.8235294
921,New Jersey,2009,54,15-19,-7.174509804,-717.4509804
922,New Jersey,2010,51.1,15-19,-4.515686275,-451.5686275
923,New Jersey,2011,46.8,15-19,-4.001960784,-400.1960784
924,New Jersey,2012,38.1,15-19,-8.664705882,-866.4705882
925,New Jersey,2013,36.1,15-19,-5.92745098,-592.745098
926,New Jersey,2014,31.9,15-19,-6.450980392,-645.0980392
927,New Jersey,2015,32.3,15-19,-2.996078431,-299.6078431
928,New Jersey,2016,31.4,15-19,-1.029411765,-102.9411765
929,New Jersey,2017,28.9,15-19,-1.501960784,-150.1960784
930,New Mexico,1988,124.6,15-19,23.818,2381.8
931,New Mexico,1989,125.5,15-19,24.885,2488.5
932,New Mexico,1990,126.4,15-19,25.952,2595.2
933,New Mexico,1991,127.3,15-19,27.019,2701.9
934,New Mexico,1992,128.2,15-19,28.086,2808.6
935,New Mexico,1993,123.35,15-19,26.624,2662.4
936,New Mexico,1994,118.5,15-19,25.162,2516.2
937,New Mexico,1995,113.65,15-19,23.7,2370
938,New Mexico,1996,108.8,15-19,22.238,2223.8
939,New Mexico,1997,107.275,15-19,23.1805,2318.05
940,New Mexico,1998,105.75,15-19,24.123,2412.3
941,New Mexico,1999,104.225,15-19,25.0655,2506.55
942,New Mexico,2000,102.7,15-19,25.12352941,2512.352941
